MPKBr_1K         	 :   551.0000
MPKBr_10K         	 :   366.6000
MPKBr_100K         	 :   102.4100
MPKBr_1M         	 :    73.2740
MPKBr_10M         	 :    65.3837
TRACE 	 : ../cbp2016.eval/traces/SHORT_MOBILE-39.bt9.trace.gz
NUM_INSTRUCTIONS            	 :  553679960
NUM_BR                      	 :   13883538
NUM_UNCOND_BR               	 :    3735573
NUM_CONDITIONAL_BR               	 :   10147965
NUM_MISPREDICTIONS               	 :     856952
MISPRED_PER_1K_INST               	 :     1.5477
